Name,group,L-Proline,L-Leucine,Uric acid,cis-Aconitic acid,"D-Glucurono-6,3-lactone",Isocitric acid,Gluconic acid,Glycerylphosphorylethanolamine,Pantothenic acid,Cytidine,"7,8-Dihydroneopterin",5-Aminoimidazole ribonucleotide,Phytosphingosine,Biocytin,IDP,"PC(14:0/20:3(5Z,8Z,11Z))"
AV_285,1,0.440840531,0.587404661,21.51738566,1.042468642,9.169316529,20.94033611,3.576311793,0.280926409,1.03540304,0.184862594,0.861635143,0.892972149,0.550126361,0.416529182,0.258531064,0.744124845
AV_287,1,0.752028631,0.67642907,21.9628996,16.39735263,1.350181257,507.8343827,1.736349093,0.136393002,0.341672491,0.258776209,1.059907193,0.164372537,0.731795431,0.163201388,7.417025087,0.192069357
AV_298,1,0.553018952,0.567434673,12.77227035,12.69401754,1.632124907,549.6685035,2.196597862,0.068114656,0.54890825,0.156959918,1.069400698,0.200388059,0.607464228,0.069777853,7.442685688,0.082158976
AV_299,1,0.630479537,0.658991573,20.9352398,14.3390767,1.809469442,542.4175575,1.80229642,0.109466362,0.256324346,0.246176517,1.049036479,0.16002108,0.704810695,0.136731514,6.883014589,0.088721864
AV_300,1,1.043707803,0.725444633,25.70717434,16.98112598,2.011938014,631.275027,3.263149895,0.088222741,0.556510418,0.203659312,1.031659051,0.186532091,0.793800299,0.158328095,8.703108237,0.274194523
AV_304,1,0.962456497,0.679820483,31.10556529,14.05313189,1.130391299,624.973387,3.063532732,0.07120659,0.262686294,0.186228035,1.069941235,0.183626974,0.697216777,0.157967184,7.560575325,0.078448308
AV_311,1,0.657303834,0.643679489,15.36327319,17.2956868,1.888476454,576.0309045,2.137912729,0.129409214,0.351643142,0.24010394,1.033910406,0.181529494,0.844919709,0.19555283,6.407781105,0.457251458
AV_314,1,0.64126985,0.626745909,22.42289437,18.91484171,1.209603638,540.2183135,2.998170721,0.092694083,0.495813914,0.224229896,1.098366073,0.184398414,0.771518563,0.12101782,5.102904728,0.088694425
AV_316,1,0.982742887,0.79197,13.21948012,38.60419195,1.910243573,489.4852072,2.374658342,0.367199122,1.284692797,0.338694538,0.9245853,0.50124441,0.751792559,0.166764415,4.788414724,0.161371281
AV_323,1,1.539780018,1.101303752,15.35861904,23.43240151,1.20400494,493.6916934,2.286439426,0.332017384,0.52912606,0.255334415,0.964514396,0.21213792,0.688030242,0.124492546,5.818656187,0.351234591
AV_328,1,1.165779949,0.941987324,21.86223269,28.48798359,1.603747884,523.3851062,2.472896845,0.204680858,0.480751329,0.226740132,1.014517813,0.157523199,0.661103242,0.159642289,6.41343919,0.061499984
AV_331,1,1.107963357,0.908134213,13.43055127,25.15234588,1.177444889,554.8966804,2.681820095,0.240572173,0.415685573,0.204028635,1.039015482,0.117079333,0.954365253,0.107798963,4.935990402,0.269044916
AV_333,1,1.273792847,0.936352517,17.71515045,27.48223735,1.261255217,635.7558826,2.27184381,0.235605145,0.601247212,0.244052787,1.085189473,0.27855871,0.715022901,0.159098136,5.480182383,0.342418518
AV_343,1,0.499522194,0.988451924,12.76773722,33.01954227,1.94434869,480.3782544,2.504213396,0.321038686,1.422554714,0.228894379,0.958658901,0.15100415,0.684912883,0.301518243,4.33155073,0.253198175
AV_348,1,0.523981175,0.609184646,26.78808452,17.97250537,1.468979639,455.1739999,3.254433313,0.396459621,1.688512842,0.761108177,0.909616053,1.301694479,0.690138917,0.235748693,1.323155493,0.887565549
AV_351,1,0.511313502,0.567309212,17.18811059,23.87227541,1.280204204,491.5063905,3.508531291,0.155883551,0.30642922,0.188385021,1.016437762,0.142983628,0.761631016,0.069929986,3.844855219,0.060461382
AV_352,1,0.795061614,0.977945102,17.40599804,32.94935904,1.682304595,567.9922859,2.467102655,0.289096562,0.657841888,0.296943322,1.018412367,0.307018346,0.638449348,0.145881495,5.512596203,0.089463965
AV_355,1,0.970633578,0.829110557,15.96259754,38.23671181,1.41047777,520.4199184,3.160415652,0.311158417,1.234725025,0.260548125,0.956995362,0.286110993,0.646104943,0.180039717,5.032364184,0.476217227
AV_368,1,0.870574262,0.868074161,26.16755507,27.08116903,1.630791229,584.2309832,1.921321336,0.224128189,0.608150244,0.242231982,1.000973465,0.146536085,0.558356177,0.148215747,5.842324186,0.074726314
AV_372,1,1.224522131,1.068772585,15.90010241,41.10409013,3.206986647,540.088232,2.839381204,0.536810292,1.387459657,0.3235055,1.03129698,0.409067561,0.729503129,0.160692299,4.27374623,0.470593471
AV_373,1,1.041071573,0.985781631,20.12839759,30.63314853,1.582168925,590.0821605,2.962374142,0.304859306,0.551134753,0.208269613,1.024583714,0.194466327,0.601657797,0.874850051,5.600361077,0.255040132
AV_382,1,0.616065868,0.648441584,25.41450891,16.10882657,1.418515072,607.9178187,2.193435141,0.164559092,0.359707092,0.539604869,1.067369789,0.192544949,0.708760973,0.227939597,6.066162186,0.254364016
AV_388,1,1.068194848,0.927096412,17.45321501,35.85781706,2.41039591,528.5310742,2.839317159,0.455491948,0.991737012,0.359171781,0.960939415,0.202110036,0.609213761,0.096343171,3.876850432,0.305939809
AV_391,1,1.161562761,0.949034648,20.0517156,27.67111394,1.267659892,517.5392046,3.260634835,0.257865195,0.716779384,0.347121153,0.990271966,0.193995063,0.631273372,0.05603969,5.758288894,0.068853118
AV_392,1,0.799299664,0.791131353,26.29136935,22.00314609,1.62021968,649.3501419,2.257537513,0.206253956,0.378663102,0.421999661,1.025958033,0.189826506,0.633233611,0.070433485,5.277968721,0.077521761
AV_398,1,0.631862067,0.691196959,21.13847534,13.44337518,1.31613505,562.6391154,2.431784232,0.151606875,0.297828563,0.57125241,1.07280507,0.225674728,0.900265924,0.099599796,7.177650286,0.306103218
AV_403,1,0.903086196,0.852288193,20.3782417,31.23647202,1.526537859,569.5959265,2.307045183,0.221346772,0.673732085,0.228808145,1.008531028,0.135533469,0.735124343,0.092696679,4.845891719,0.125890811
AV_407,1,1.061593729,0.947799609,2.476123404,35.4129572,2.916759984,691.3691609,3.222622622,0.493285354,0.511632602,0.26378593,1.018531149,0.37949009,0.712354069,0.33657285,5.572825765,0.090611653
AV_408,1,1.084320719,1.016879139,16.00118287,37.98642781,1.733846247,569.8653306,2.075791954,0.343561191,0.666793018,0.227312571,1.027314874,0.138820938,1.353606023,0.052267818,4.828761844,0.105560948
AV_424,1,1.203304288,0.913819954,22.94675086,26.7593221,1.395410599,625.1500873,2.510689642,0.200022818,0.540644214,0.313910358,1.073268527,0.204379508,0.751000429,0.166732498,7.152693317,0.174366059
AV_426,1,0.820394082,0.872060116,18.06937308,24.61007427,1.506609801,577.6603459,2.062089384,0.275710296,0.362756359,0.261214644,0.959927407,0.192300691,0.694235736,0.09575601,4.832995686,0.139767933
AV_427,1,1.044927209,1.035113096,1.725270264,38.63313784,1.613868695,540.3067282,3.681259943,0.401926713,0.962660624,0.284082452,0.971950086,0.234437648,0.707476634,0.036015651,5.179383033,0.235213452
AV_441,1,1.119706416,1.083134156,5.135553331,34.21649539,1.369204957,445.9365311,3.084858974,0.287105026,0.918964553,0.345276223,0.921029031,0.337484401,0.902989385,0.137932822,6.010946313,0.307478776
AV_443,1,0.663806982,0.774519972,29.56109931,25.85695991,1.54519959,598.664655,2.608162202,0.208846735,0.550974002,0.27513017,0.999034201,0.160313276,0.70137692,0.058073462,6.123030386,0.062936708
